gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
2603345856	StillImage	image/jpeg	https://static.inaturalist.org/photos/65832961/original.jpg?1586132238	https://www.inaturalist.org/photos/65832961					2020-04-05T20:09:17Z	Tyler Cannon		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Tyler Cannon
2603345856	StillImage	image/jpeg	https://static.inaturalist.org/photos/65832984/original.jpg?1586132245	https://www.inaturalist.org/photos/65832984					2020-04-05T20:09:17Z	Tyler Cannon		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Tyler Cannon
2603344017	StillImage	image/jpeg	https://static.inaturalist.org/photos/66410464/original.jpg?1586550970	https://www.inaturalist.org/photos/66410464					2020-04-10T14:21:32Z	i012777		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	i012777
2603343002	StillImage	image/jpeg	https://static.inaturalist.org/photos/66407355/original.jpeg?1586549349	https://www.inaturalist.org/photos/66407355					2020-04-10T15:08:15Z	Kelli		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Kelli
2603342275	StillImage	image/jpeg	https://static.inaturalist.org/photos/66616970/original.jpeg?1586667647	https://www.inaturalist.org/photos/66616970					2020-04-11T16:50:27Z	stinger		iNaturalist	http://creativecommons.org/licenses/by/4.0/	stinger
2603341816	StillImage	image/jpeg	https://static.inaturalist.org/photos/62677626/original.jpg?1583264090	https://www.inaturalist.org/photos/62677626					2020-03-03T13:34:19Z	leogustafson		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	leogustafson
2603340869	StillImage	image/jpeg	https://static.inaturalist.org/photos/65938190/original.jpg?1586208926	https://www.inaturalist.org/photos/65938190					2020-04-02T08:48:14Z	bailiebrown		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	bailiebrown
2603339050	StillImage	image/jpeg	https://static.inaturalist.org/photos/66461062/original.jpg?1586577460	https://www.inaturalist.org/photos/66461062					2020-04-10T16:31:33Z	Elizabeth Train		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Elizabeth Train
2603339050	StillImage	image/jpeg	https://static.inaturalist.org/photos/66461068/original.jpg?1586577467	https://www.inaturalist.org/photos/66461068					2020-04-10T16:31:33Z	Elizabeth Train		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Elizabeth Train
2603337560	StillImage	image/jpeg	https://static.inaturalist.org/photos/66823671/original.jpg?1586797344	https://www.inaturalist.org/photos/66823671					2020-04-13T16:06:56Z	Randy Puckett		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Randy Puckett
2603337560	StillImage	image/jpeg	https://static.inaturalist.org/photos/66823555/original.jpg?1586797292	https://www.inaturalist.org/photos/66823555					2020-04-13T16:06:56Z	Randy Puckett		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Randy Puckett
2603337543	StillImage	image/jpeg	https://static.inaturalist.org/photos/66813002/original.jpg?1586791984	https://www.inaturalist.org/photos/66813002					2020-04-11T12:54:52Z	Joe Steiner		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Joe Steiner
2603337543	StillImage	image/jpeg	https://static.inaturalist.org/photos/66813056/original.jpg?1586792007	https://www.inaturalist.org/photos/66813056					2020-04-11T12:55:27Z	Joe Steiner		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Joe Steiner
