"scientific_name","latitude","longitude","id","user_login","observed_on","day","year","data_source","file","adults","life_stage"
"Danaus plexippus",41.86663,-87.61543,13400530,"carterobrien","2018-06-13",164,2018,"iNaturalist","d_plexippus13400530.jpg",1,"-"
"Danaus plexippus",41.866665,-87.615555,13400531,"carterobrien","2018-06-13",164,2018,"iNaturalist","d_plexippus13400531.jpg",1,"-"
"Danaus plexippus",36.879604,-88.344603,13402330,"brittany113","2018-06-13",164,2018,"iNaturalist","d_plexippus13402330.jpg",1,"-"
"Danaus plexippus",40.1014398504,-85.6169065275,13402532,"davidrowe1","2018-06-13",164,2018,"iNaturalist","d_plexippus13402532.jpg",0,"E"
"Danaus plexippus",40.7612081418,-78.2672537106,13409733,"troglodyteshiemalis","2018-06-09",160,2018,"iNaturalist","d_plexippus13409733.jpg",0,"L"
"Danaus plexippus",39.7006351361,-86.0402467848,13421581,"kristen_d","2018-06-11",162,2018,"iNaturalist","d_plexippus13421581.jpg",1,"-"
"Danaus plexippus",38.5873719658,-92.2344498972,13427727,"lduggan","2018-06-14",165,2018,"iNaturalist","d_plexippus13427727.jpg",1,"-"
"Danaus plexippus",40.0971666,-84.6439886,13429606,"coachwhipbooks","2018-06-14",165,2018,"iNaturalist","d_plexippus13429606.jpg",1,"-"
"Danaus plexippus",41.1088175,-81.7355007,13431002,"naturalistnat","2018-06-14",165,2018,"iNaturalist","d_plexippus13431002.jpg",0,"L"
"Danaus plexippus",41.677133,-87.871121,13431255,"sanguinaria33","2018-06-12",163,2018,"iNaturalist","d_plexippus13431255.jpg",1,"-"
"Danaus plexippus",38.626025,-90.2991116667,13434024,"lelandflynnadventures","2018-06-14",165,2018,"iNaturalist","d_plexippus13434024.jpg",1,"-"
"Danaus plexippus",37.9180966667,-93.9930416667,13434261,"rehazen","2018-06-14",165,2018,"iNaturalist","d_plexippus13434261.jpg",1,"-"
"Danaus plexippus",41.92665,-87.63465,13434848,"droberts49","2018-06-14",165,2018,"iNaturalist","d_plexippus13434848.jpg",1,"-"
"Danaus plexippus",41.9268033333,-87.634705,13434864,"droberts49","2018-06-14",165,2018,"iNaturalist","d_plexippus13434864.jpg",0,"L"
"Danaus plexippus",41.2530715103,-81.3836885244,13436892,"emmethro","2018-06-14",165,2018,"iNaturalist","d_plexippus13436892.jpg",0,"L"
"Danaus plexippus",39.1647109985,-86.4524459839,13437678,"breeganandersen","2018-06-13",164,2018,"iNaturalist","d_plexippus13437678.jpg",1,"-"
"Danaus plexippus",39.1899640232,-84.2024720079,13437886,"julbar","2018-06-14",165,2018,"iNaturalist","d_plexippus13437886.jpg",1,"-"
"Danaus plexippus",40.3084671518,-76.448107274,13451217,"agood","2018-06-15",166,2018,"iNaturalist","d_plexippus13451217.jpg",1,"-"
"Danaus plexippus",39.9277287483,-83.1541606307,13455392,"susanna_h","2018-06-15",166,2018,"iNaturalist","d_plexippus13455392.jpg",1,"-"
"Danaus plexippus",38.5882133845,-92.2357453985,13456303,"lduggan","2018-06-15",166,2018,"iNaturalist","d_plexippus13456303.jpg",0,"L"
"Danaus plexippus",41.01036657,-81.97053235,13466793,"sagamoreoh","2018-06-15",166,2018,"iNaturalist","d_plexippus13466793.jpg",0,"L"
"Danaus plexippus",38.5873924278,-90.2924541074,13469108,"codyh","2018-06-15",166,2018,"iNaturalist","d_plexippus13469108.jpg",1,"-"
"Danaus plexippus",39.9587974548,-86.0721054077,13477350,"sirindu","2018-06-15",166,2018,"iNaturalist","d_plexippus13477350.jpg",1,"-"
"Danaus plexippus",39.9747803885,-82.9153328017,13478875,"lizzardimus","2018-06-16",167,2018,"iNaturalist","d_plexippus13478875.jpg",0,"L"
"Danaus plexippus",38.588695,-92.2312383333,13490113,"amlambert11","2018-06-16",167,2018,"iNaturalist","d_plexippus13490113.jpg",1,"-"
"Danaus plexippus",41.9502833333,-87.7236716667,13491760,"kennedy9094","2018-06-16",167,2018,"iNaturalist","d_plexippus13491760.jpg",0,"E"
"Danaus plexippus",41.9501216667,-87.7234116667,13493158,"kennedy9094","2018-06-16",167,2018,"iNaturalist","d_plexippus13493158.jpg",1,"-"
"Danaus plexippus",41.64358,-85.7803033333,13511431,"marksmucker","2018-06-17",168,2018,"iNaturalist","d_plexippus13511431.jpg",1,"-"
"Danaus plexippus",38.5782136862,-90.4639421125,13515948,"ryanfitzgerald","2018-06-17",168,2018,"iNaturalist","d_plexippus13515948.jpg",1,"-"
"Danaus plexippus",39.5637834,-75.5927165,13522598,"ken47","2018-06-16",167,2018,"iNaturalist","d_plexippus13522598.jpg",1,"-"
"Danaus plexippus",41.7689846404,-88.1751006835,13526393,"cghiotto","2018-06-17",168,2018,"iNaturalist","d_plexippus13526393.jpg",0,"L"
"Danaus plexippus",39.7773033333,-86.1374583333,13527053,"adamfudickar","2018-06-15",166,2018,"iNaturalist","d_plexippus13527053.jpg",1,"-"
"Danaus plexippus",41.4244728088,-81.7329559326,13528542,"lisa63","2018-06-15",166,2018,"iNaturalist","d_plexippus13528542.jpg",0,"L"
"Danaus plexippus",41.0104228,-81.3977169,13530760,"mldelfino","2018-06-17",168,2018,"iNaturalist","d_plexippus13530760.jpg",1,"-"
"Danaus plexippus",39.7700191602,-86.4000676527,13556622,"whiteanne","2018-06-18",169,2018,"iNaturalist","d_plexippus13556622.jpg",1,"-"
"Danaus plexippus",41.7832522,-87.578253,13561722,"randyshonkwiler","2018-06-16",167,2018,"iNaturalist","d_plexippus13561722.jpg",1,"-"
"Danaus plexippus",41.7832522,-87.578253,13562180,"randyshonkwiler","2018-06-16",167,2018,"iNaturalist","d_plexippus13562180.jpg",1,"-"
"Danaus plexippus",41.5991287231,-87.4509277344,13566329,"zombiepack","2018-06-18",169,2018,"iNaturalist","d_plexippus13566329.jpg",1,"-"
"Danaus plexippus",41.5859438149,-88.0509302393,13584991,"brentrutter","2018-06-17",168,2018,"iNaturalist","d_plexippus13584991.jpg",0,"L"
"Danaus plexippus",36.4980611111,-86.6229472222,13585323,"sehbra","2018-06-19",170,2018,"iNaturalist","d_plexippus13585323.jpg",1,"-"
"Danaus plexippus",41.3182716667,-81.6168666667,13588109,"laurengreenwell","2018-06-19",170,2018,"iNaturalist","d_plexippus13588109.jpg",0,"L"
"Danaus plexippus",38.5887534213,-92.231274397,13588347,"pwinn47","2018-06-19",170,2018,"iNaturalist","d_plexippus13588347.jpg",1,"-"
"Danaus plexippus",40.790775,-73.9275583333,13590415,"jjadams","2018-06-19",170,2018,"iNaturalist","d_plexippus13590415.jpg",1,"-"
"Danaus plexippus",41.31822,-81.6167966667,13590447,"erings","2018-06-19",170,2018,"iNaturalist","d_plexippus13590447.jpg",0,"L"
"Danaus plexippus",39.93342,-75.16932,13594986,"bobjobin","2018-06-19",170,2018,"iNaturalist","d_plexippus13594986.jpg",1,"-"
"Danaus plexippus",41.9432216667,-87.66783,13596026,"erik92","2018-06-19",170,2018,"iNaturalist","d_plexippus13596026.jpg",1,"-"
"Danaus plexippus",37.3521916667,-79.3203583333,13597984,"elsker","2018-06-19",170,2018,"iNaturalist","d_plexippus13597984.jpg",1,"-"
"Danaus plexippus",39.0050678301,-76.9246579972,13607110,"dulzura","2018-06-20",171,2018,"iNaturalist","d_plexippus13607110.jpg",1,"-"
"Danaus plexippus",36.8795916409,-88.3445452899,13607508,"jacob171","2018-06-13",164,2018,"iNaturalist","d_plexippus13607508.jpg",1,"-"
"Danaus plexippus",40.5956888889,-80.2281583333,13610110,"pageshcynthia","2018-06-19",170,2018,"iNaturalist","d_plexippus13610110.jpg",1,"-"
"Danaus plexippus",37.3754,-80.5217366667,13610993,"rhueston","2018-06-20",171,2018,"iNaturalist","d_plexippus13610993.jpg",1,"-"
"Danaus plexippus",41.836445,-87.944695,13623171,"pliffgrieff","2018-06-20",171,2018,"iNaturalist","d_plexippus13623171.jpg",1,"-"
"Danaus plexippus",39.6417994269,-84.1776522778,13624631,"smwhite","2018-06-20",171,2018,"iNaturalist","d_plexippus13624631.jpg",1,"-"
"Danaus plexippus",39.9276464737,-83.1540748,13626869,"susanna_h","2018-06-20",171,2018,"iNaturalist","d_plexippus13626869.jpg",1,"-"
"Danaus plexippus",41.2763901476,-81.5397186577,13636899,"kelliekinz","2018-06-21",172,2018,"iNaturalist","d_plexippus13636899.jpg",0,"L"
"Danaus plexippus",41.27641538,-81.5398551,13637255,"kelliekinz","2018-06-21",172,2018,"iNaturalist","d_plexippus13637255.jpg",0,"L"
"Danaus plexippus",40.029356832,-81.5599569185,13642447,"jesla17","2018-06-21",172,2018,"iNaturalist","d_plexippus13642447.jpg",1,"-"
"Danaus plexippus",37.644136,-77.308255,13646032,"kbeza31979","2018-06-21",172,2018,"iNaturalist","d_plexippus13646032.jpg",1,"-"
"Danaus plexippus",39.6828283333,-84.108375,13650510,"jsullivan38","2018-06-21",172,2018,"iNaturalist","d_plexippus13650510.jpg",1,"-"
"Danaus plexippus",38.8056280883,-77.2858231702,13651822,"grantkids","2018-06-21",172,2018,"iNaturalist","d_plexippus13651822.jpg",0,"L"
